t,success,mid,pmt,pg,sub_type,hr,bank,isFailed,failure_rate
3,1,fanfight,CARD,RAZORPAY,,2020-02-14 07,SOUTHCAROLINAF.C.U.,TRUE,0.666666667
1,0,pharmeasytech,CARD,PAYU,,2020-02-14 11,GP Parsik Bank,TRUE,1
2,0,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_UNIB,TRUE,1
1,1,countrydelight,CARD,PAYU,,2020-02-14 12,FIRSTDUPAGEBANK,FALSE,0
3,3,fanfight,NB,PAYTM,,2020-02-14 12,NB_IDFC,FALSE,0
1,1,medlife_prod,CARD,TPSL,,2020-02-14 04,THE KALUPUR COMMERCIAL CO OP BANK LTD,FALSE,0
1,1,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 11,EPAYLATER,FALSE,0
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,THE ALMORA URBAN COOPERATIVE BANK,FALSE,0
1,1,zivame,NB,PAYU,,2020-02-14 17,NB_IOB,FALSE,0
5,0,fanfight,CARD,GOCASHFREE,,2020-02-14 13,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR,TRUE,1
2,0,medlife_prod,CARD,TPSL,,2020-02-14 16,South Indian Bank,TRUE,1
9,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_INDB,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 15,THE MOGAVEERA COOP BANK LTD,FALSE,0
1,1,medlife_prod,CARD,TPSL,,2020-02-14 14,THE MOGAVEERA COOP BANK LTD,FALSE,0
1,0,purplle.com,NB,PAYU,,2020-02-14 13,NB_FED,TRUE,1
1,0,urbanclap,CARD,PAYTM,,2020-02-14 13,CANADIANIMPERIALBANKOFCOMMERCE,TRUE,1
5,0,fanfight,NB,RAZORPAY,,2020-02-14 13,NB_ALLB,TRUE,1
3,0,fanfight,CARD,GOCASHFREE,,2020-02-14 15,PURVANCHAL GRAMIN BANK,TRUE,1
4,0,fanfight,CARD,RAZORPAY,,2020-02-14 15,COMMUNITYBANK,TRUE,1
1,1,countrydelight,CARD,PAYU,,2020-02-14 14,MATTELF.C.U.,FALSE,0
3,1,zivame,CARD,HDFC,,2020-02-14 12,COMMUNITYBANK,TRUE,0.666666667
1,0,urbanclap,NB,PAYTM,,2020-02-14 04,NB_INDUS,TRUE,1
5,0,fanfight,NB,RAZORPAY,,2020-02-14 07,NB_UCOB,TRUE,1
3,0,medlife_prod,NB,RAZORPAY,,2020-02-14 07,NB_IOB,TRUE,1
4,0,zivame,NB,PAYU,,2020-02-14 08,NB_UCOB,TRUE,1
4,4,medlife_prod,CARD,TPSL,,2020-02-14 07,IDFC Bank,FALSE,0
5,3,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 06,AIRTELMONEY,TRUE,0.4
1,0,medlife_prod,CARD,TPSL,,2020-02-14 04,COMMUNITYBANK,TRUE,1
2,0,medlife_prod,CARD,TPSL,,2020-02-14 06,NKGSB COOP BANK LTD,TRUE,1
1,1,zivame,CARD,HDFC,,2020-02-14 10,BCCARDCO..LTD.,FALSE,0
3,2,fanfight,CARD,GOCASHFREE,,2020-02-14 11,SARVA HARYANA GRAMIN BANK,TRUE,0.333333333
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 12,RAJKOT NAGARIK SAHAKARI BANK LTD,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 08,South Indian Bank,FALSE,0
1,1,urbanclap,CARD,PAYTM,,2020-02-14 04,DCB,FALSE,0
3,0,pharmeasytech,CARD,,,2020-02-14 04,Zeta,TRUE,1
3,0,fanfight,NB,RAZORPAY,,2020-02-14 07,NB_ANDHRA,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_CORP,FALSE,0
1,1,medlife_prod,CARD,TPSL,,2020-02-14 10,Saraswat Bank,FALSE,0
5,1,pharmeasytech,CARD,PAYU,,2020-02-14 04,IDFC Bank,TRUE,0.8
1,1,medlife_prod,CARD,TPSL,,2020-02-14 06,CREDITLIBANAISS.A.L.,FALSE,0
1,1,countrydelight,NB,PAYU,,2020-02-14 12,NB_INDB,FALSE,0
2,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 01,AIRTELMONEY,FALSE,0
1,0,pharmeasytech,CARD,PAYU,,2020-02-14 01,IDFC Bank,TRUE,1
1,0,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_BOBCORP,TRUE,1
1,1,zivame,CARD,HDFC,,2020-02-14 05,Punjab and Sind Bank,FALSE,0
1,0,zivame,NB,PAYU,,2020-02-14 07,NB_ANDHRA,TRUE,1
3,1,zivame,CARD,PAYU,,2020-02-14 09,The Catholic Syrian Bank,TRUE,0.666666667
1,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_OBC,TRUE,1
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 04,Tamilnad Mercantile Bank,FALSE,0
1,0,urbanclap,NB,PAYTM,,2020-02-14 14,NB_FED,TRUE,1
1,1,zivame,CARD,HDFC,,2020-02-14 13,Karur Vysya Bank,FALSE,0
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 17,Punjab and Sind Bank,FALSE,0
1,0,fanfight,CARD,GOCASHFREE,,2020-02-14 16,BARODA UTTAR PRADESH GRAMIN BANK,TRUE,1
3,1,countrydelight,NB,PAYU,,2020-02-14 17,NB_DEUT,TRUE,0.666666667
2,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,ASSAM COOPERATIVE APEX BANK LTD,TRUE,0.5
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,THE SURAT PEOPLES COOPERATIVE BANK LTD,FALSE,0
1,0,pharmeasytech,NB,PAYU,,2020-02-14 15,NB_IOB,TRUE,1
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 13,PAYZAPP,TRUE,1
1,1,zivame,NB,PAYU,,2020-02-14 13,NB_AIRTEL,FALSE,0
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 13,South Indian Bank,FALSE,0
1,1,urbanclap,NB,PAYU,,2020-02-14 12,NB_AIRTEL,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-14 14,NB_CORP,TRUE,1
2,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 18,PAYZAPP,TRUE,1
5,2,countrydelight,NB,PAYU,,2020-02-12 06,NB_AIRTEL,TRUE,0.6
3,0,fanfight,CARD,GOCASHFREE,,2020-02-12 13,IDFC Bank,TRUE,1
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 00,NB_SOIB,TRUE,1
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 09,NB_ALLB,TRUE,1
3,1,urbanclap,NB,PAYTM,,2020-02-12 09,NB_IDFC,TRUE,0.666666667
2,0,drivezy,NB,GOCASHFREE,,2020-02-12 09,NB_VJYB,TRUE,1
1,1,countrydelight,CARD,PAYU,,2020-02-12 06,Abhyudaya Cooperative Bank,FALSE,0
1,1,drivezy,CARD,GOCASHFREE,,2020-02-12 12,MONEYACCESSSERVICE.INC.,FALSE,0
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 07,JIOMONEY,TRUE,1
1,1,urbanclap,CARD,PAYTM,,2020-02-12 05,Kotak Bank,FALSE,0
1,1,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_CORP,FALSE,0
3,1,drivezy,CARD,GOCASHFREE,,2020-02-12 02,Kotak Bank,TRUE,0.666666667
1,0,purplle.com,NB,PAYTM,,2020-02-12 06,NB_ALLB,TRUE,1
1,1,urbanclap,NB,PAYTM,,2020-02-12 05,NB_CSB,FALSE,0
1,1,pharmeasytech,NB,PAYU,,2020-02-12 11,NB_IOB,FALSE,0
2,1,drivezy,CARD,GOCASHFREE,,2020-02-12 07,City Union Bank,TRUE,0.5
1,0,countrydelight,NB,PAYU,,2020-02-12 06,NB_ANDHRA,TRUE,1
1,0,medlife_prod,CARD,TPSL,,2020-02-12 03,The Shamrao Vithal Cooperative Bank,TRUE,1
1,1,countrydelight,NB,PAYU,,2020-02-12 05,NB_IDFC,FALSE,0
3,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-12 11,EPAYLATER,TRUE,1
2,1,fanfight,CARD,RAZORPAY,,2020-02-12 02,Karur Vysya Bank,TRUE,0.5
1,0,countrydelight,NB,PAYU,,2020-02-12 18,NB_AIRTEL,TRUE,1
2,1,fanfight,CARD,RAZORPAY,,2020-02-12 14,Punjab and Sind Bank,TRUE,0.5
8,0,fanfight,NB,RAZORPAY,,2020-02-12 13,NB_CBI,TRUE,1
1,1,drivezy,CARD,GOCASHFREE,,2020-02-12 14,South Indian Bank,FALSE,0
4,1,fanfight,NB,RAZORPAY,,2020-02-12 14,NB_SYNB,TRUE,0.75
2,1,urbanclap,CARD,PAYTM,,2020-02-12 16,Kotak Bank,TRUE,0.5
7,0,fanfight,NB,RAZORPAY,,2020-02-12 15,NB_PNBCORP,TRUE,1
3,2,pharmeasytech,CARD,PAYU,,2020-02-12 13,IDFC Bank,TRUE,0.333333333
4,4,fanfight,CARD,RAZORPAY,,2020-02-12 15,Mudra Bank,FALSE,0
2,0,zivame,CARD,HDFC,,2020-02-14 05,Mudra Bank,TRUE,1
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 04,South Indian Bank,FALSE,0
2,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 10,EPAYLATER,TRUE,1
1,0,purplle.com,NB,PAYTM,,2020-02-14 03,NB_ALLB,TRUE,1
2,1,urbanclap,NB,PAYTM,,2020-02-14 06,NB_IOB,TRUE,0.5
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 11,NB_VJYB,TRUE,1
3,1,zivame,CARD,PAYU,,2020-02-14 06,Abhyudaya Cooperative Bank,TRUE,0.666666667
1,1,purplle.com,CARD,PAYTM,,2020-02-14 12,South Indian Bank,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 06,South Indian Bank,FALSE,0
4,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 08,AIRTELMONEY,TRUE,0.5
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 09,Saraswat Bank,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,The Bharat Cooperative Bank,FALSE,0
1,0,fanfight,CARD,GOCASHFREE,,2020-02-14 10,Tamilnad Mercantile Bank,TRUE,1
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 11,SOUTHCAROLINAF.C.U.,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-14 06,NB_PNJSB,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 03,DCB,FALSE,0
2,0,drivezy,CARD,GOCASHFREE,,2020-02-14 03,BCCARDCO..LTD.,TRUE,1
1,0,urbanclap,CARD,PAYTM,,2020-02-14 04,BANCAMORA.S.A.,TRUE,1
1,1,urbanclap,CARD,PAYTM,,2020-02-14 05,Mudra Bank,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-14 12,NB_SBM,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 09,Barclays Bank,FALSE,0
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_JSB,TRUE,1
1,1,zivame,NB,PAYU,,2020-02-14 01,NB_VJYB,FALSE,0
4,0,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_SYNB,TRUE,1
1,0,urbanclap,NB,PAYTM,,2020-02-14 08,NB_ANDHRA,TRUE,1
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 20,NB_SOIB,TRUE,1
1,1,pharmeasytech,NB,PAYU,,2020-02-14 06,NB_DCB,FALSE,0
1,0,pharmeasytech,NB,PAYTM,,2020-02-14 16,NB_IOB,TRUE,1
1,0,purplle.com,NB,PAYU,,2020-02-14 16,NB_OBC,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 17,NB_SCB,FALSE,0
1,1,zivame,CARD,HDFC,,2020-02-14 14,Tamilnad Mercantile Bank,FALSE,0
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 14,Bandhan Bank,FALSE,0
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 13,BARODA UTTAR PRADESH GRAMIN BANK,FALSE,0
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,Bandhan Bank,FALSE,0
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,J AND K GRAMEEN BANK,FALSE,0
1,1,pharmeasytech,NB,RAZORPAY,,2020-02-14 15,NB_ALLB,FALSE,0
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 17,Karur Vysya Bank,FALSE,0
3,0,fanfight,CARD,GOCASHFREE,,2020-02-14 15,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR,TRUE,1
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 10,NB_VJYB,TRUE,1
1,1,urbanclap,CARD,PAYTM,,2020-02-14 11,Deutsche Bank,FALSE,0
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 13,SOUTHCAROLINAF.C.U.,FALSE,0
2,1,purplle.com,CARD,PAYTM,,2020-02-14 12,City Union Bank,TRUE,0.5
1,1,pharmeasytech,NB,PAYU,,2020-02-14 01,NB_UNIB,FALSE,0
1,1,zivame,NB,PAYU,,2020-02-14 11,NB_CITI,FALSE,0
3,0,urbanclap,NB,PAYTM,,2020-02-14 07,NB_DEUT,TRUE,1
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 06,Lakshmi Vilas Bank,FALSE,0
1,1,urbanclap,NB,PAYTM,,2020-02-14 09,NB_OBC,FALSE,0
2,0,drivezy,NB,GOCASHFREE,,2020-02-14 10,NB_KARN,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 05,NB_SCB,FALSE,0
4,0,urbanclap,NB,PAYTM,,2020-02-14 00,NB_CUB,TRUE,1
1,0,purplle.com,CONSUMER_FINANCE,PAYU,,2020-02-14 13,ZESTMONEY,TRUE,1
2,0,purplle.com,NB,PAYU,,2020-02-14 06,NB_SOIB,TRUE,1
2,1,urbanclap,NB,PAYTM,,2020-02-14 08,NB_INDUS,TRUE,0.5
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,GP Parsik Bank,FALSE,0
1,0,pharmeasytech,NB,PAYU,,2020-02-14 03,NB_CORP,TRUE,1
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 07,South Indian Bank,FALSE,0
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 03,PAYZAPP,TRUE,1
1,0,urbanclap,NB,PAYU,,2020-02-14 05,NB_PNBCORP,TRUE,1
1,0,fanfight,CARD,RAZORPAY,,2020-02-14 14,COMMUNITYBANK,TRUE,1
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 04,NB_CORP,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 15,NB_BOM,FALSE,0
1,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 16,EPAYLATER,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 16,Bandhan Bank,FALSE,0
4,4,fanfight,NB,PAYTM,,2020-02-14 15,NB_IDFC,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-14 14,NB_INDB,TRUE,1
1,0,purplle.com,CARD,PAYTM,,2020-02-14 16,THE DISTRICT CO OP BANK LTD DEHRADUN,TRUE,1
2,0,zivame,NB,PAYU,,2020-02-14 19,NB_KVB,TRUE,1
1,0,drivezy,CARD,GOCASHFREE,,2020-02-14 20,South Indian Bank,TRUE,1
3,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,SHIVAJI NAGARI SAHAKARI BANK LTD,TRUE,0.666666667
1,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_OBC,TRUE,1
1,0,purplle.com,NB,PAYU,,2020-02-14 15,NB_PNJSB,TRUE,1
1,1,purplle.com,CARD,PAYTM,,2020-02-14 14,CHHATTISGARH RAJYA GRAMIN BANK,FALSE,0
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 17,NB_PNBCORP,TRUE,1
2,0,fanfight,NB,RAZORPAY,,2020-02-14 02,NB_BOM,TRUE,1
1,1,medlife_prod,CARD,TPSL,,2020-02-14 11,BCCARDCO..LTD.,FALSE,0
1,1,urbanclap,NB,PAYTM,,2020-02-14 04,NB_SARASB,FALSE,0
1,1,urbanclap,CARD,PAYTM,,2020-02-14 05,Deutsche Bank,FALSE,0
2,0,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_OBC,TRUE,1
1,0,urbanclap,CARD,PAYTM,,2020-02-14 05,Chase Bank,TRUE,1
1,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_JNK,TRUE,1
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 06,THE BAGHAT URBAN COOP BANK LTD,FALSE,0
1,0,countrydelight,NB,PAYU,,2020-02-14 05,NB_SYNB,TRUE,1
1,1,urbanclap,CARD,PAYTM,,2020-02-14 09,South Indian Bank,FALSE,0
2,2,purplle.com,CARD,PAYTM,,2020-02-14 07,UTTARAKHAND GRAMIN BANK,FALSE,0
1,1,zivame,CARD,PAYU,,2020-02-14 11,ODISHA GRAMYA BANK,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 08,Bassein Catholic Bank,FALSE,0
1,1,purplle.com,CARD,PAYTM,,2020-02-14 11,South Indian Bank,FALSE,0
3,0,medlife_prod,CARD,TPSL,,2020-02-14 08,THE KARNATAKA STATE COOPERATIVE APEX BANK LTD AS I,TRUE,1
1,0,countrydelight,CARD,PAYU,,2020-02-14 06,SOUTHCAROLINAF.C.U.,TRUE,1
2,1,purplle.com,CARD,PAYTM,,2020-02-14 20,Mudra Bank,TRUE,0.5
1,0,fanfight,NB,RAZORPAY,,2020-02-14 16,NB_UCOB,TRUE,1
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,United Bank of India,FALSE,0
2,2,fanfight,CARD,GOCASHFREE,,2020-02-14 15,Karur Vysya Bank,FALSE,0
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 18,Karur Vysya Bank,FALSE,0
1,0,countrydelight,NB,PAYTM,,2020-02-14 13,NB_DBS,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 19,Saraswat Bank,FALSE,0
1,0,zivame,CARD,HDFC,,2020-02-14 14,Karur Vysya Bank,TRUE,1
2,1,purplle.com,CARD,PAYTM,,2020-02-14 15,THE PALAKKAD DISTRICT COOPERATIVE BANK LTD,TRUE,0.5
1,1,pharmeasytech,NB,PAYU,,2020-02-14 18,NB_FED,FALSE,0
1,0,urbanclap,CARD,PAYTM,,2020-02-14 18,ADCB,TRUE,1
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 14,PAYZAPP,TRUE,1
1,1,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_ANDHRA,FALSE,0
2,0,countrydelight,NB,PAYU,,2020-02-13 00,NB_AIRTEL,TRUE,1
1,1,pharmeasytech,NB,RAZORPAY,,2020-02-13 12,NB_ALLB,FALSE,0
1,0,drivezy,NB,GOCASHFREE,,2020-02-13 04,NB_UNIB,TRUE,1
1,1,countrydelight,CARD,PAYU,,2020-02-13 00,THANE JANATA SAHAKARI BANK LTD,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-13 08,IDFC Bank,FALSE,0
1,1,zivame,CARD,PAYU,,2020-02-13 13,THE NAINITAL BANK LTD,FALSE,0
3,3,pharmeasytech,CARD,PAYU,,2020-02-13 04,Abhyudaya Cooperative Bank,FALSE,0
1,1,zivame,CARD,PAYU,,2020-02-13 08,Bandhan Bank,FALSE,0
3,0,purplle.com,WALLET,,,2020-02-13 08,UNDEFINED,TRUE,1
1,1,urbanclap,NB,PAYTM,,2020-02-13 05,NB_INDB,FALSE,0
1,0,pharmeasytech,CARD,PAYU,,2020-02-13 09,POCAVALLEYBANK.INC.,TRUE,1
2,0,fanfight,NB,PAYTM,,2020-02-13 00,NB_IDFC,TRUE,1
1,1,urbanclap,CARD,PAYTM,,2020-02-13 01,BCCARDCO..LTD.,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-13 03,NB_OBC,TRUE,1
1,0,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_BOBCORP,TRUE,1
2,0,drivezy,NB,GOCASHFREE,,2020-02-13 10,NB_BOM,TRUE,1
5,1,drivezy,CARD,GOCASHFREE,,2020-02-13 05,Kotak Bank,TRUE,0.8
3,2,fanfight,CARD,GOCASHFREE,,2020-02-13 13,SHIVAJI NAGARI SAHAKARI BANK LTD,TRUE,0.333333333
1,1,pharmeasytech,CARD,PAYU,,2020-02-13 13,THE KODAGU DISTRICT COOP CENTRAL BANK LTD,FALSE,0
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 05,PAYZAPP,TRUE,1
2,2,urbanclap,NB,PAYTM,,2020-02-13 09,NB_INDB,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-13 10,NB_DENA,TRUE,1
2,0,countrydelight,CARD,PAYU,,2020-02-13 16,MONEYACCESSSERVICE.INC.,TRUE,1
2,1,urbanclap,NB,PAYTM,,2020-02-13 14,NB_RBL,TRUE,0.5
2,0,countrydelight,CARD,PAYU,,2020-02-13 17,MONEYACCESSSERVICE.INC.,TRUE,1
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 16,NB_BOBCORP,TRUE,1
3,2,purplle.com,CARD,PAYTM,,2020-02-13 18,Punjab and Sind Bank,TRUE,0.333333333
1,0,pharmeasytech,NB,PAYU,,2020-02-13 15,NB_INDUS,TRUE,1
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 17,NB_UCOB,TRUE,1
1,0,fanfight,NB,RAZORPAY,,2020-02-13 15,NB_SBP,TRUE,1
1,0,zivame,NB,PAYU,,2020-02-13 19,NB_INDB,TRUE,1
1,1,urbanclap,NB,PAYTM,,2020-02-14 04,NB_KARN,FALSE,0
1,0,countrydelight,NB,PAYU,,2020-02-14 07,NB_IOB,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_SARASB,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 10,MONEYACCESSSERVICE.INC.,FALSE,0
2,2,purplle.com,CARD,PAYTM,,2020-02-14 06,SOUTHCAROLINAF.C.U.,FALSE,0
1,1,purplle.com,NB,PAYU,,2020-02-14 11,NB_INDB,FALSE,0
2,1,countrydelight,NB,PAYU,,2020-02-14 05,NB_CITI,TRUE,0.5
6,3,medlife_prod,CARD,TPSL,,2020-02-14 07,South Indian Bank,TRUE,0.5
1,0,pharmeasytech,NB,RAZORPAY,,2020-02-14 07,NB_SCB,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 04,THE GREATER BOMBAY COOP BANK LTD,FALSE,0
1,1,urbanclap,CARD,PAYTM,,2020-02-14 04,MONEYACCESSSERVICE.INC.,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-14 08,NB_ALLB,TRUE,1
2,0,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_SYNB,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 06,NB_ANDHRA,FALSE,0
1,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_PNBCORP,TRUE,1
1,1,zivame,CARD,PAYU,,2020-02-14 14,Bandhan Bank,FALSE,0
1,0,purplle.com,NB,PAYU,,2020-02-14 16,NB_FED,TRUE,1
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 14,NB_SCB,FALSE,0
2,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_ALLB,TRUE,1
1,1,purplle.com,CARD,PAYTM,,2020-02-14 15,South Indian Bank,FALSE,0
1,0,purplle.com,NB,PAYU,,2020-02-14 18,NB_PNJSB,TRUE,1
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 16,THE ADARSH COOP URBAN BANK LTD,FALSE,0
4,0,fanfight,NB,RAZORPAY,,2020-02-12 07,NB_ALLB,TRUE,1
1,1,fanfight,CARD,GOCASHFREE,,2020-02-12 02,ANDHRA PRADESH GRAMEENA VIKAS BANK,FALSE,0
3,0,fanfight,NB,RAZORPAY,,2020-02-12 03,NB_CBI,TRUE,1
1,1,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_OBC,FALSE,0
2,2,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_IOB,FALSE,0
1,0,pharmeasytech,NB,PAYTM,,2020-02-12 06,NB_CBI,TRUE,1
1,1,purplle.com,CARD,PAYTM,,2020-02-12 06,Punjab and Sind Bank,FALSE,0
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_KVB,FALSE,0
1,1,fanfight,NB,PAYTM,,2020-02-12 03,NB_IDFC,FALSE,0
1,1,pharmeasytech,CARD,PAYU,,2020-02-12 03,SOUTHCAROLINAF.C.U.,FALSE,0
2,0,fanfight,NB,RAZORPAY,,2020-02-12 01,NB_UNIB,TRUE,1
1,0,purplle.com,NB,PAYTM,,2020-02-12 04,NB_BHARAT,TRUE,1
3,3,medlife_prod,NB,RAZORPAY,,2020-02-12 12,NB_SCB,FALSE,0
2,0,urbanclap,NB,PAYTM,,2020-02-12 07,NB_FED,TRUE,1
